Film_title,Release_year,Runtime,Director,Producer,Writer,Editor,Cinematography,Production Design,Composer,Sound,Genre,Cast,Personal_rating,Average_rating,Letterboxd URL
Imbisibol,2015,132,Lawrence Fajardo,nan,"['Lawrence Fajardo', 'Herlyn Alegre', 'John  Bendia']",['Lawrence Fajardo'],['Boy Yñiguez'],nan,nan,nan,['drama'],"['Allen Dizon', 'JM de Guzman', 'Ces Quesada', 'Bernardo Bernardo', 'Onyl Torres', 'Mailes Kanapi', 'JC Santos', 'Ricky Davao']",nan,3.55,https://letterboxd.com//film/imbisibol/
"Mondomanila, or: How I Fixed My Hair After a Rather Long Journey",2010,75,Khavn,['Khavn'],"['Khavn', 'Norman Wilwayco']",['Lawrence S. Ang'],['Albert Banzon'],"['Dante Perez', 'Rolando Rubenecia']",nan,"['Corinne de San Jose', 'Mark Locsin', 'Herbert Salanga']",['drama'],"['Timothy Castillo', 'Marife Necesito', 'Jim Rocky Tangco', 'Stefan Punongbayan', 'Alex Tiglao', 'Tony Hunt', 'Palito', 'Rodney Aquino', 'Whitney Tyson', 'Dante Perez', 'Paulo Vicente', 'Raymart Tangco', ""Manuel 'Bonbon' Valerozo"", 'Rey Miyano', 'Jaime Cuales', 'Jonathan Reyes']",nan,3.55,https://letterboxd.com//film/mondomanila-or-how-i-fixed-my-hair-after-a-rather-long-journey/
Apparition,2012,87,Isabel Sandoval,['Isabel Sandoval'],"['Jerry Gracio', 'Isabel Sandoval']","['Jerrold Tarog', 'Isabel Sandoval']",['Jay Abello'],['Rolando Rubenecia'],['Teresa Barrozo'],nan,['drama'],"['Mylene Dizon', 'Jodi Sta. Maria', 'Raquel Villavicencio', 'Rustica Carpio', 'Fides Cuyugan-Asensio', 'Star Orjaliza', 'Madeleine Nicolas', 'Al Gatmaitan', 'Angelita Raymundo', 'Antonette Garcia', 'Irene Celebre', 'Maria Monica Reyes', 'Regina De Vera', 'Ellen Rowy', 'Wilma Olivar']",nan,3.54,https://letterboxd.com//film/apparition/
Lola Igna,2019,114,Eduardo Roy Jr.,"['Ferdinand Lapuz', 'Sarah Pagcaliwagan', 'John Joseph Tan']","['Eduardo Roy Jr.', 'Margarette Labrador']",['Carlo Francisco Manatad'],['Tey Clamor'],['Carmela Danao'],['Andrew Florentino'],"['Armand De Guzman', 'Russel Gabayeron']","['comedy', 'drama']","['Angie Ferro', 'Yves Flores', 'Meryll Soriano', 'Maria Isabel Lopez', 'Royce Cabrera', 'Jojo Riguerra', 'Soliman Cruz', 'Armando A. Reyes', ""Peewee O'Hara"", 'Joel Saracho', 'Rener Concepcion', 'Conching Ani', 'Sarah Pagcaliwagan', 'Chamyto Aguedan']",nan,3.54,https://letterboxd.com//film/lola-igna/
The Baseball Player,2022,71,Carlo Obispo,"['Carlo Obispo', 'Marvin Reyes']",['Carlo Obispo'],['Zig Madamba Dulay'],['Marvin Reyes'],['Michael Bayot'],['Pepe Manikan'],['Alex Tomboc'],['drama'],"['Tommy Alejandrino', 'JM San Jose', 'Tess Antonio', 'DMs Boongaling', 'Sue Prado', 'Pongs Leonardo', 'Joel Saracho', 'Bon Andrew Lentejas', 'Ely Cellan', 'Arnold Reyes']",nan,3.54,https://letterboxd.com//film/the-baseball-player/
Star Na Si Van Damme Stallone,2016,97,Randolph Longjas,nan,"['Ronald Allan Habon', 'Alpha Habon', 'Rod Cabataña Marmol']",['Benjo Ferrer'],['Sasha Palomares'],['Popo Diaz'],nan,['Albert Michael Idioma'],"['drama', 'comedy']","['Candy Pangilinan', 'Acey Aguilar', 'Sarah Brakensiek', 'Ebong Joson', 'Isaac Aguirre', 'Paolo Pingol', 'Jadford Dilanco', 'Mara Paulina Adlawan Marasigan']",nan,3.53,https://letterboxd.com//film/star-na-si-van-damme-stallone/
Rakenrol,2011,113,Quark Henares,['Quark Henares'],"['Quark Henares', 'Diego Castillo']","['Mo Zee', 'Ted Mosuela', 'Lucio Martinez III']","['Lyle Sacris', 'Odyssey Flores', 'Pong Ignacio']",['Christina Dy'],nan,['Ditoy Aguila'],"['music', 'comedy']","['Jason Abalos', 'Glaiza de Castro', 'Diether Ocampo', 'Matet De Leon', 'Ketchup Eusebio', 'Alwyn Uytingco', 'Ramon Bautista', 'Ricardo Cepeda', 'Jun Sabayton', 'Angelica Panganiban', 'Ely Buendia', 'Buddy Zabala']",nan,3.53,https://letterboxd.com//film/rakenrol/
The Bet Collector,2006,98,Jeffrey Jeturian,['Rogelio I. Rayala'],"['Ralston Jover', 'Armando Lao']",['Jay Halili'],['Boy Yñiguez'],['Leo Abaya'],['Jerrold Tarog'],['Ditoy Aguila'],['drama'],"['Gina Pareño', 'Fonz Deza', 'Nanding Josef', 'Soliman Cruz', 'Joe Gruta', 'Domingo Landicho', 'Neil Ryan Sese', 'Miguel Castro', 'Nico Antonio', 'Jess Evardone', 'Teresa Jamias', 'Amy Robles', 'Jaja Bolivar', 'Ran del Rosario', 'Roence Santos', 'Elmo Redrico', 'Jeremiah Rosales', 'Johnny Manahan']",nan,3.53,https://letterboxd.com//film/the-bet-collector/
Aishite Imasu 1941: Mahal Kita,2005,107,Joel Lamangan,nan,"['Joel Lamangan', 'Ricardo Lee']",nan,nan,nan,nan,nan,"['drama', 'romance', 'war']","['Judy Ann Santos', 'Raymart Santiago', 'Dennis Trillo', 'Jay Manalo', 'Angelu de Leon', 'Iya Villania', 'Marco Alcaraz', 'Jaclyn Jose', 'Anita Linda', 'TJ Trinidad', 'Yasmien Kurdi', 'Jim Pebanco', 'Neil Ryan Sese', 'Tony Mabesa', 'Dante Javier', 'Mon Confiado', 'Jon Romano', 'Tadashi Nakamura', 'Menggie Cobarrubias', 'Dido De La Paz', 'Tom Olivar', 'Kokoy Palma', 'Edna May Landicho', 'Gilleth Sandico', 'Archie Adamos', 'Shiela Mae Junsay', 'Jeon Macatangay', 'Nelson Evangelista', 'Domingo Landicho', 'Tina Manipis', 'Dave Payot', 'Malou Enero']",nan,3.53,https://letterboxd.com//film/aishite-imasu-1941-mahal-kita/
Tu Pug Imatuy,2017,90,Arnel Mardoquio,nan,['Arnel Mardoquio'],nan,nan,nan,nan,['Arnel Mardoquio'],['drama'],"['Jong Monzon', 'Obunay Sulatan', 'Jillian Khayle Barbarona', 'Henyo Ehem']",nan,3.52,https://letterboxd.com//film/tu-pug-imatuy/
