Film_title,Release_year,Runtime,Director,Producer,Writer,Editor,Cinematography,Production Design,Composer,Sound,Genre,Cast,Personal_rating,Average_rating,Letterboxd URL
Genghis Khan,1950,88,Manuel Conde,['Manuel Conde'],"['Manuel Conde', 'Carlos V. Francisco']","['Ray Heinz', 'Fred Buensuceso']",['Emmanuel I. Rojas'],['Carlos V. Francisco'],['Juan Silos Jr.'],nan,['action'],"['Manuel Conde', 'Elvira Reyes', 'Inday Jalandoni', 'Jose Villafranca', 'Darmo Acosta', 'Africa de la Rosa', 'Ric Bustamante', 'Ely Nakpil', 'Juan Monteiro', 'Andres Centenera', 'Leon Lizares']",nan,3.5,https://letterboxd.com//film/genghis-khan-1950/
Tanabata's Wife,2018,90,"Choy Pangilinan, Lito Casaje","['Choy Pangilinan', 'Charlson Ong']","['Choy Pangilinan', 'Juan Carlo Tarobal', 'Charlson Ong', 'Mao Portus']",['May-i Guia Padilla'],['Nap Jamir'],['Martin Masadao'],nan,nan,"['romance', 'history', 'drama']","['Mia Fanglayan', 'Kurt ""Ayeo-eo"" Lumbag Alalag', 'Miyuki Kamimura', 'Danilo Balanay', 'Yoshiro Takada', 'Yoshihito Tsukasa', 'Shane Daweg', 'Rainell Cosme', 'John Rey Sagamla', 'Lito Casaje', 'Kislap Alitaptap', 'Brian Arda']",nan,3.5,https://letterboxd.com//film/tanabatas-wife/
Tanging Yaman,2000,112,Laurice Guillen,nan,"['Laurice Guillen', 'Shaira Mella Salvador', 'Moira Lang']",['George Jarlego'],['Lee Briones-Meily'],['Edgar Martin Littaua'],['Nonong Buencamino'],['Ramon Reyes'],"['drama', 'family']","['Gloria Romero', 'Hilda Koronel', 'Dina Bonnevie', 'Edu Manzano', 'Johnny Delgado', 'Joel Torre', 'Cherry Pie Picache', 'Marvin Agustin', 'Jericho Rosales', 'Shaina Magdayao', 'John Prats', 'Dominic Ochoa', 'Janet McBride', 'Carol Banawa', 'Lou Veloso', 'Joe Mari Avellana', 'Leo Rialp', 'Lucy Quinto', 'Mae-ann Adonis', 'Ina Feleo', 'Felindo Obach', 'Miren Fabregas', 'Chiqui Xerxes-Burgos', 'Gogito Nepomuceno Guiao', 'Ana Feleo']",nan,3.49,https://letterboxd.com//film/tanging-yaman/
ARI: My Life with a King,2015,90,Carlo Enciso Catu,['Ferdinand Lapuz'],['Robby Tantingco'],['Carlo Francisco Manatad'],['Carlo Mendoza'],nan,['Jake Abella'],nan,['drama'],"['Ronwaldo Martin', 'Francisco Guinto', 'Cecile Yumul', 'Chloe Carpio', 'Jonalyn Ablong']",nan,3.49,https://letterboxd.com//film/ari-my-life-with-a-king/
Violator,2014,115,Dodo Dayao,nan,['Dodo Dayao'],['Lawrence S. Ang'],"['Albert Banzon', 'Gym Lumbera']",['Richard Somes'],['Ace Cada'],['Corinne de San Jose'],"['thriller', 'horror']","['Victor Neri', 'Timothy Castillo', 'Andy Bais', 'Joel Lamangan', 'RK Bagatsing', 'Enrie Estevez', 'Kathleen Pador', 'Winston Payumo', 'Elizabeth Oropesa', 'Cesar Montano', 'Jess Mendoza', 'Red Concepcion', 'Anthony Falcon']",nan,3.49,https://letterboxd.com//film/violator/
Si Chedeng at Si Apple,2017,87,"Fatrick Tabada, Rae Red",['Bianca Balbuena'],['Fatrick Tabada'],['Charliebebs Gohetia'],['Don Gerardo Frasco'],"['Benjamin Padero', 'Carlo Tabije']",['Francis de Veyra'],['Immanuel Verona'],"['comedy', 'drama']","['Gloria Diaz', 'Elizabeth Oropesa', 'Dido De La Paz', 'Teroy Guzman', 'Sheenly Gener', 'Anthony Falcon', 'Ian Lomongo', 'Mike Liwag', 'Jay Gonzaga', 'Mae Paner', 'Margie Visitacion']",nan,3.49,https://letterboxd.com//film/si-chedeng-at-si-apple/
"Hello, Love, Goodbye",2019,118,Cathy Garcia-Molina,"['Carmi Raymundo', 'Olivia M. Lamasan', 'John Leo D. Garcia', 'Carlo Katigbak']","['Cathy Garcia-Molina', 'Carmi Raymundo', 'Rona Co']",['Marya Ignacio'],['Noel Teehankee'],['Norico Santos'],['Jessie Lasaten'],nan,"['drama', 'romance']","['Kathryn Bernardo', 'Alden Richards', 'Maymay Entrata', 'Maricel Laxa', 'Joross Gamboa', 'Jameson Blake', 'Kakai Bautista', 'Lito Pimentel', 'Jeffrey Tam', 'Lovely Abella', 'William Lorenzo', 'Maxine Medina', 'Jerome Ponce']",nan,3.49,https://letterboxd.com//film/hello-love-goodbye/
Fan Girl,2020,100,Antoinette Jadaone,"['Marizel Samson-Martinez', 'Bianca Balbuena', 'Dan Villegas', 'Armi Rae Cacanindin', 'Kren V. Yap']",['Antoinette Jadaone'],['Benjamin Gonzales Tolentino'],['Neil Daza'],['Ferdi Abuel'],['Teresa Barrozo'],['Vincent Villa'],['drama'],"['Charlie Dizon', 'Paulo Avelino', 'Camille Penaverde', 'Sheenly Gener', 'Gie Onida', 'Bea Alonzo', 'Micko Laurente', 'Milo Elmido Jr.', 'Aikah Agnote', 'Cristine Calawod', 'Marjorie Lorico', 'Jack Alimbuyugin', 'James Fajardo', 'Mina Cruz', 'Joshua Cabiladas', 'Melvin Garcia']",nan,3.48,https://letterboxd.com//film/fan-girl-2020/
Noli me Tángere,1961,180,Gerardo de Leon,nan,"['Gerardo de Leon', 'Jose Flores Sibal']",nan,nan,nan,nan,nan,"['action', 'drama']","['Eddie Del Mar', 'Edita Vital', 'Johnny Monteiro', 'Oscar Kesse', 'Teody Belarmino', 'Leopoldo Salcedo', ""Ramon D'Salva"", 'Ruben Rustia', 'Max Alvarado', 'Lina Cariño', 'Nello Nayo', 'Engracio Ibarra', 'Lillian Laing', 'Veronica Palileo', 'Joseph de Cordova', 'Manny Ojeda', 'Fred Gonzales', 'Lito Anzures', 'Andres Centenera', 'Jose Garcia', 'Pianing Vidal', 'Dely Villanueva', 'Luis San Juan', 'Francisco Cruz', 'Salvador Zaragoza', 'Jerry Pons', 'Benny Mack', 'Eddie Ilagan', 'Mario Sibal', 'Anna Marie', 'Nelda Miranda', 'Mila Quirante', 'Eva Cariño', 'Menchu Montenegro', 'Ric Bustamante', 'Tommy Nepomuceno', 'Andres Benitez', 'Carpi Asturias', 'Paquito Salcedo', 'Primo Yumol', 'Rey Panlilio', 'Florence Gumabon', 'Dik Trofeo', 'Doming Del Valle', 'Jose Mari Centenera', 'Rufino Ocampo', 'Felisa Salcedo', 'German Panlilio', ""Renato D'Salva"", 'Itoy Victoria', 'Guillermo Carls', 'Robert Arevalo']",nan,3.48,https://letterboxd.com//film/noli-me-tangere-1961/
The Boy Foretold By the Stars,2020,108,Dolly Dulu,nan,['Dolly Dulu'],['Noah Tonga'],['Marvin Reyes'],['Lars Magbanua'],['Paulo Protacio'],"['Pietro Marco Javier', 'Jannina Mikaela Minglanilla']",['romance'],"['Adrian Lindayag', 'Keann Johnson', 'Iyah Mina', 'Rissey Reyes', 'John Leinard Ramos', 'Jan Rey Escaño', 'Vic Robinson III', 'Jemuel Satumba', 'Renshi de Guzman', 'Kalil Almonte', 'Jethro Niño Tenorio', 'Kristian Cartilla', 'Pongs Leonardo', 'Dolly Dulu', 'Pat Ong']",nan,3.48,https://letterboxd.com//film/the-boy-foretold-by-the-stars/
Temptation Island,1980,115,Joey Gosiengfiao,nan,['Toto Belano'],['Rogelio Salvador'],['Ricardo Jacinto'],['Mel Chionglo'],['Jun Latonio'],"['Rolly Ruta', 'Vic Macamay']","['drama', 'comedy']","['Dina Bonnevie', 'Azenith Briones', 'Jennifer Cortez', 'Bambi Arambulo', 'Deborah Sun', 'Ricky Belmonte', 'Alfie Anido', 'Domingo Sabado', 'Jonas Sebastian', 'Tonio Gutierrez', 'Anita Linda', 'Lillian Laing', 'Bibeth Orteza', 'Ed Villapol', 'Chito Santos']",nan,3.47,https://letterboxd.com//film/temptation-island-1980/
Loving Someone,1993,117,Jose Javier Reyes,['Simon C. Ongpin'],['Jose Javier Reyes'],['George Jarlego'],"['Arnold Alvaro', 'Juanito Perreira, Jr.']",['Benjie De Guzman'],['Nonong Buencamino'],['Joe Climaco'],"['drama', 'romance']","['Aga Muhlach', 'Aiko Melendez', 'Boots Anson-Roa', 'Ronaldo Valdez', 'Claudine Barretto', 'Agot Isidro', 'Nikka Valencia', 'Aljon Jimenez', 'John Estrada', 'Bimbo Bautista', 'Liza Lorena', 'Marita Zobel', 'Ramil Rodriguez', 'Ogie Diaz', 'Gina Leviste', 'Ernie Zarate', 'Lulu Arietta', 'Fina Peralejo', 'Leilani Terrobias', 'Patrick Riego De Dios', 'Melvin Viceral', 'Paolo Zobel', 'Ed Pozon', 'Malou Crisologo', 'Terry Baylosis', 'George Lim', 'Angie Roy', 'Ed Murillo', 'Alma Lerma', 'Isko Moreno', 'Ma. Lourdes Araneta', 'Myla De Jesus', 'Aaron Mulach', 'Michelle Suzara', 'Rex Agoncillo', 'Patricia Ann Roque', 'Marisol Garcia', 'Ma. Elena Diso', 'John Vallar', 'Chanda Espiritu', 'Fe Cabrera', 'Ana Asiatico']",nan,3.47,https://letterboxd.com//film/loving-someone/
"I'm Drunk, I Love You",2017,110,Jaime P. Habac Jr.,"['Paulo Avelino', 'Daphne Chiu', 'Armi Rae Cacanindin']","['Giancarlo Abrahan', 'Jaime P. Habac Jr.']",['Carlo Francisco Manatad'],['Boy Yñiguez'],['Marxie Maolen Fadul'],['Jerrold Tarog'],['Mikko Quizon'],['romance'],"['Maja Salvador', 'Paulo Avelino', 'Dominic Roco', 'Jasmine Curtis-Smith', 'Jim Paredes', 'Irma Adlawan', 'Thou Reyes', 'Paul Montecillo', 'Lei Ponce']",nan,3.48,https://letterboxd.com//film/im-drunk-i-love-you/
Wanted: Perfect Mother,1996,99,Ike Jarlego Jr.,nan,"['Mel Mendoza-Del Rosario', 'Mars Ravelo']",['Marya Ignacio'],['Jun Pereira'],['Manny Morfe'],nan,nan,"['music', 'romance', 'comedy', 'drama']","['Regine Velasquez', 'Bing Loyzaga', 'Bobby Andrews', 'Mandy Ochoa', 'Winnie Cordero', 'Kim delos Santos', 'Harold Macasero', 'Jay-Ar De Luna', 'Melisse Santiago', 'Christopher de Leon', 'Kate Gomez', 'Josie Tagle', 'Marilen Sakay', 'Phillip Lazaro', 'Ferdie Lagman', 'Olive Madridejos', 'Joe Jardi', 'Freddie Elasigue', 'Roy De Guzman', 'Mon Fernandez', 'Raven Villanueva', 'Nikka Ruiz', 'Ivy Isidoro', 'Pocholo Montes', 'Randy Santiago', 'Samantha Lopez', 'Lora Luna']",nan,3.48,https://letterboxd.com//film/wanted-perfect-mother/
A Short History of a Few Bad Things,2018,87,Keith Deligero,['Gale Osorio'],['Paul Grant'],nan,nan,nan,nan,nan,"['mystery', 'drama']","['Victor Neri', 'Jay Gonzaga', 'Publio Briones III', 'Maricel Sombrio', 'Kent Divinagracia', 'Hesus Deligero', 'Reynaldo Samaco', 'Arnel Mardoquio', 'Julius Augustus Amrad', 'Felicisimo Alingasa', 'Rhyles Cameron', 'Mel Baquiran', 'Remton Siega Zuasola', 'Crezzo Paz', 'Vitto Neri', 'Shiela Mae Hotingoy', 'Fel Louise Alingasa', 'Alyssa Despojo', 'Keith Deligero', 'Nony Pador', 'Alice Castro Dizon', 'Bebot Arias', 'Goddess Minerva', 'Eric Bico']",nan,3.48,https://letterboxd.com//film/a-short-history-of-a-few-bad-things/
Now Showing,2008,280,Raya Martin,['Arleen Cuevas'],['Raya Martin'],['Lawrence S. Ang'],['Albert Banzon'],['Digo Ricio'],nan,['Ditoy Aguila'],['drama'],"['Ness Roque', 'Adriana Agcaoili', 'Antônio Vianna', 'Daisy Carino', 'Maila Romero', 'Via Antonio']",nan,3.48,https://letterboxd.com//film/now-showing/
Minsan Lang Kita Iibigin,1994,108,Chito S. Roño,nan,nan,nan,"['Johnny Araojo', 'Jun Pereira']",['Edel Templonuevo'],nan,nan,"['drama', 'romance']","['Maricel Soriano', 'Gabby Concepcion', 'Zsa Zsa Padilla', 'Mat Ranillo III', 'Amado Cortez', 'Nanette Medved', 'Rina Reyes', 'Mandy Ochoa', 'John Villar', 'Carol Dauden', 'Charlie Arceo', 'Alan Garcia', 'Romy Osorio', 'Alan Noble', 'Bong Cantuba', 'Rey Favian', 'Rose Gacula']",nan,3.47,https://letterboxd.com//film/minsan-lang-kita-iibigin/
Zone 7,2013,93,Carlo Obispo,"['Carlo Obispo', 'Thop Nazareno', 'Salunat Gallen']",['Carlo Obispo'],['Thop Nazareno'],['Marvin Reyes'],['Arthur Maningas'],['Pepe Manikan'],nan,"['family', 'comedy', 'drama']","['Arnold Reyes', 'Angeli Bayani', 'Krystle Valentino', 'Miggs Cuaderno', 'Julian Trono', 'Carlon Matobato', 'Aaron Ching', 'Sheenly Gener']",nan,3.47,https://letterboxd.com//film/zone-7/
Working Girls,1984,118,Ishmael Bernal,['Ramon Salvador'],['Amado Lacuesta'],['Ike Jarlego Jr.'],['Manolo R. Abaya'],['Benjie De Guzman'],['Willy Cruz'],['Vic Macamay'],"['comedy', 'drama']","['Hilda Koronel', 'Rio Locsin', 'Gina Pareño', 'Carmi Martin', 'Chanda Romero', 'Maria Isabel Lopez', 'Baby Delgado', 'Tommy Abuel', 'Robert Arevalo', 'Edu Manzano', 'Joel Lamangan', 'Johnny Wilson', 'Koko Trinidad', 'Eddie Arenas', 'Raul Aragon', 'Roy Alvarez', 'Gammy Viray', 'Romeo Rivera', 'Ben Almeda', 'Cris Michelena', 'Robert Campos', 'Delia Razon', 'Orestes Ojeda', 'Jaime Fabregas', 'Victor Ordoñez', 'Alma Lerma', 'Aura Mijares', 'Madeleine Nicolas', 'Lou Veloso', 'Jograd de la Torre', 'Beverly Salviejo', 'Mon Carpo', 'Cesar Montano', 'Encar Benedicto', 'Vicky Suba', 'Edgar Garcia', 'Mario Taguiwalo', 'Evelyn Vargas', 'Leila Lopez', 'Gregg de Guzman', 'Marilou Diaz-Abaya', 'Zorayda Sanchez']",nan,3.47,https://letterboxd.com//film/working-girls/
Second Chances,1995,122,Olivia M. Lamasan,"['Malou N. Santos', 'Simon C. Ongpin']","['Mel Mendoza-Del Rosario', 'Olivia M. Lamasan', 'Jose Javier Reyes', 'Shaira Mella Salvador']",['George Jarlego'],['Romeo Vitug'],['Randy Gamier'],['Willy Cruz'],['Ramon Reyes'],"['romance', 'drama']","['Aga Muhlach', 'Lea Salonga', 'William Martinez', 'Tina Paner', 'Rosemarie Sonora', 'Cherry Pie Picache', 'Tommy Abuel', 'Gina Pareño', 'Lorli Villanueva', 'Raul Aragon', 'Richard Arellano', 'Eula Valdez', 'Lorenzo Mara', 'Mandy Ochoa', 'Bill Recana', 'Jan Marini', 'Joey Ayala', 'Joe Jardi', 'Aida Espiritu', 'Keith Fazackerly', 'Ivan Padilla', 'Evan Gonzales', 'Judy McAndrew', 'Erie Vonsuch', 'Randy Gamier', 'Al Ickler', 'Nick Nicholson', 'Marco Newman', 'Jay Pangan', 'Rosa Morato', 'Jonalyn Basco', 'Christopher Carmen', 'William Romero', 'Arthur Holley', 'Cristen Labao', 'Max Thomas', 'Bernie Bogan', 'Malen R. Guerra', 'Jessica Uy Aranas', 'Fidel Remolana', 'Rachel Sotto', 'Fil Armstrong']",nan,3.47,https://letterboxd.com//film/second-chances-1995/
Mater Dolorosa,2012,86,Adolfo Alix Jr.,['Ronald Arguelles'],['Jerry Gracio'],['Benjamin Gonzales Tolentino'],['Albert Banzon'],['Adolfo Alix Jr.'],nan,nan,['drama'],"['Gina Alajar', 'Carlo Aquino', 'Alessandra de Rossi', 'Cogie Domingo', 'Felix Roco', 'Anita Linda', 'Rosanna Roces', 'Menggie Cobarrubias', 'Evelyn Vargas', 'Joem Bascon', 'Mercedes Cabral', 'Alwyn Uytingco', 'Phillip Salvador', 'Kristoffer King']",nan,3.46,https://letterboxd.com//film/mater-dolorosa/
Ordinary People,2016,107,Eduardo Roy Jr.,['Ferdinand Lapuz'],['Eduardo Roy Jr.'],['Carlo Francisco Manatad'],['Albert Banzon'],['Harley Alcasid'],['Erwin Fajardo'],"['Albert Michael Idioma', 'Immanuel Verona']",['drama'],"['Ronwaldo Martin', 'Hasmine Killip', 'Maria Isabel Lopez', 'Sue Prado', 'Ruby Ruiz', 'Moira Lang', 'Karl Medina', 'Erlinda Villalobos', 'Domingo Cobarrubias', 'Paolo Rodriguez', 'John Vincent Servilla', 'Rian Magtaan', 'Myla Monido', 'Alora Mae Sasam', 'Ruth Alferez', 'Gold Aceron', 'Bon Andrew Lentejas']",nan,3.46,https://letterboxd.com//film/ordinary-people-2016/
Paglipay,2016,98,Zig Madamba Dulay,nan,['Zig Madamba Dulay'],nan,nan,nan,nan,nan,"['drama', 'romance']","['Garry Cabalic', 'Joan dela Cruz', 'Anna Luna', 'Manel Sevidal', 'Natasha Cabrera', 'Norman King', 'Gigi Locsin', 'Joel Saracho', 'Upeng Fernandez', 'Ken-ken Nuyad', 'JC Santos']",nan,3.46,https://letterboxd.com//film/paglipay/
Ang TV Movie: The Adarna Adventure,1996,nan,Johnny Manahan,nan,"['John-D Lazatin', 'Johnny Manahan', 'Wystan Dimalanta', 'Chito Francisco']",['Manet A. Dayrit'],['Joe Tutanes'],['Randy Gamier'],['Lorrie Ilustre'],nan,"['adventure', 'comedy', 'drama']","['Nida Blanca', 'Tirso Cruz III', 'Dindo Arroyo', 'Gio Alvarez', 'Jolina Magdangal', 'Paolo Contis', 'Camille Prats', 'Patrick Garcia', 'Anna Larrucea', 'Angelica Panganiban', 'CJ Ramos', 'Stefano Mori', 'Teresa Loyzaga', 'Toby Alejar', 'Jean Saburit', 'Winnie Cordero', 'Sammy Lagmay', 'Subas Herrero', 'Johnny Manahan', 'Joy Viado', 'Joji Isla', 'Gammy Viray', 'Guila Alvarez', 'Katya Santos', 'Alfred Manal', 'Marc Solis', 'John Prats', 'Rodney Shattara', 'Baron Geisler', 'Chubi del Rosario', 'Shelley Alvarez', 'Nikka Valencia', 'Rica Peralejo', 'Luigi Alvarez', 'Farrah Florer', 'Lindsay Custodio', 'John Lapus', 'Charlotte McIntosh', 'Sara Polverini', 'Jennifer Umali', 'Andrea Del Rosario']",nan,3.45,https://letterboxd.com//film/ang-tv-movie-the-adarna-adventure/
Verdict,2019,126,Raymund Ribay Gutierrez,['Brillante Mendoza'],['Raymund Ribay Gutierrez'],['Diego Marx Dobles'],['Joshua Reyles'],nan,['Diwa de Leon'],nan,"['drama', 'crime']","['Max Eigenmann', 'Kristoffer King', 'Jordhen Suan', 'Rene Durian', 'Dolly de Leon', 'Perry Dizon', 'Matt Daclan']",nan,3.45,https://letterboxd.com//film/verdict/
The Wanderer,2008,90,Robert Quilao,nan,"['Artemio Abad', 'Eric Cabahug']",nan,nan,nan,nan,nan,"['adventure', 'fantasy', 'animation']","['Nash Aguas', 'Katrina Michelle Legaspi', 'Michael V.', 'Peque Gallaga', 'Johnny Delgado', 'Pokwang', 'Gabe Mercado', 'Pocholo Gonzales', 'Noel Trinidad', 'Nova Villa', 'Carl John Barrameda', 'Laurice Guillen', 'Moymoy', 'Roadfill']",nan,3.44,https://letterboxd.com//film/the-wanderer-2008/
Solace,2022,105,Christian Lat,nan,"['Mia Salisbury', 'Christian Paolo Lat', 'Anju De Vera', 'Lester Caacbay']","['Alec Figuracion', 'Sebastian Olivedo']",['Dominic Lat'],['Melvin Lacerna'],['Paulo Protacio'],nan,['drama'],"['Andrew Ramsay', 'Duane Lucas Pascua', 'Ruby Ruiz', 'Rolando Inocencio', 'Dido De La Paz', 'Ruth Lopez-Dee', 'Elan Villafuerte', 'Shun Andrei Bacalla', 'Roel Abao', 'Kiko Matos', 'Jun Nayra', 'Jan Rebong', 'Chanel Latorre']",nan,3.44,https://letterboxd.com//film/solace-2022/
Ang Pulubi at ang Prinsesa,1997,nan,Jerry Lopez Sineneng,nan,"['Ellen Ongkeko-Marfil', 'Mari Mariano']",nan,nan,nan,nan,nan,"['drama', 'comedy']","['Camille Prats', 'Angelica Panganiban', 'Sharmaine Arnaiz', 'Romnick Sarmenta', 'Teresa Loyzaga', 'Emilio Garcia', 'Ricardo Cepeda', 'John Lapus', 'Michael Roy Jornales', 'Lorena Garcia', 'Eula Valdez', 'Dexter Doria', 'Archie Adamos', 'Luigi Alvarez', 'Joed Serrano', 'Derek Carmona', 'Mel Kimura', 'Tess Dumpit', 'Mon Confiado', 'Eileen Tinio', 'Boy Salvador', 'Mardi Fuentes', 'Rex Tanwangco', 'Reggie Amigo', 'Virgilio Punzalan', 'Aida Espiritu', 'Fely Sineneng', 'Tony Trinidad']",nan,3.44,https://letterboxd.com//film/ang-pulubi-at-ang-prinsesa/
Daughters of Eve,1985,125,Elwood Perez,['Willy Tieng'],['Ricardo Lee'],['Edgardo Vinarao'],['Johnny Araojo'],['Aped Santos'],['Lutgardo Labad'],['Vic Macamay'],"['crime', 'horror', 'drama']","['Sarsi Emmanuelle', 'Maria Isabel Lopez', 'Mira Manibog', 'Mark Joseph', 'Michael Locsin', 'Arwin Rogelio', 'Jenneelyn Gatbalite', 'Pia Zabale', 'Jimmy Reyes', 'Gloria Andrade', 'Arthur Cassanova', 'Chabeng Contreras', 'Cheriebee Santos']",nan,3.44,https://letterboxd.com//film/daughters-of-eve/
Magic Kingdom: Alamat ng Damortis,1997,112,"Lore Reyes, Peque Gallaga",nan,['Erik Matti'],nan,nan,nan,nan,nan,"['fantasy', 'action', 'adventure']","['Jason Salcedo', 'Janus Del Prado', 'Junell Hernando', 'Jun Urbano', 'Anne Curtis', 'Turko Cervantes', 'Ramon Christopher', 'Mark Gil', 'Maricel Laxa', 'William Martinez', 'Jomari Uy']",nan,3.44,https://letterboxd.com//film/magic-kingdom-alamat-ng-damortis/
Metamorphosis,2019,98,J.E. Tiglao,"['J.E. Tiglao', 'Ronald Arguelles', 'Bella Tiglao']","['J.E. Tiglao', 'Boo Dabu']",['Renard Torres'],['Tey Clamor'],['James Arvin Rosendal'],nan,nan,['drama'],"['Gold Aceron', 'Iana Bernardez', 'Ricky Davao', 'Yayo Aguila', 'Bodjie Pascua', 'Germaine De Leon', 'Dylan Ray Talon']",nan,3.44,https://letterboxd.com//film/metamorphosis-2019-4/
Booba,2001,99,Joyce E. Bernal,"['Brenda M. Bayhon', 'Vincent del Rosario III']","['Mel Mendoza-Del Rosario', 'Joyce E. Bernal']","['Joyce E. Bernal', 'Renato de Leon']",['Charlie Peralta'],['Danny Cristobas'],"[""Edwin 'Kiko' Ortega""]",['Ramon Reyes'],nan,"['Rufa Mae Quinto', 'Gary Estrada', 'Ai-Ai delas Alas', 'Gina Pareño', 'Roldan Aquino', 'Archie Ventosa', 'Denver Razon', 'Ava Avila', 'Rico Miguel', 'Rad Domiguez', 'Polly Cadsawan', 'Felindo Obach', 'Rudy Meyer', 'Josie Galvez', 'George Lim', 'Angie Reyes', 'Peter Lim']",nan,3.43,https://letterboxd.com//film/booba/
Separada,1994,118,Chito S. Roño,"['Malou N. Santos', 'Simon C. Ongpin']","['Ricardo Lee', 'Tessie Tomas']",['Joe Solo'],['Joe Batac'],['Ernest Santiago'],['Nonong Buencamino'],['Ramon Reyes'],['drama'],"['Maricel Soriano', 'Edu Manzano', 'Sharmaine Arnaiz', 'Patrick Garcia', 'Angelica Panganiban', 'Liza Lorena', 'Eddie Rodriguez', 'Lani Mercado', 'Raquel Villavicencio', 'Ai-Ai delas Alas', 'Teresa Loyzaga', 'Mandy Ochoa', 'Lloyd Umali', 'Dennis Roldan', 'Ronnie Lazaro', 'Ramon Recto', 'Gammy Viray', 'Khryss Adalia', 'Idda Yaneza', 'Madeleine Nicolas', 'Estrella Antonio', 'Streetboys', 'Mimi Yaptiongco']",nan,3.43,https://letterboxd.com//film/separada/
2 Cool 2 Be 4gotten,2016,95,Petersen Vargas,"['Alemberg Ang', 'Phyllis Grande']",['Jason Paul Laxamana'],['Mark Cyril Bautista'],['Carlos Mauricio'],['Jhon Paul Sapitula'],nan,['Adi Bersales'],['drama'],"['Khalil Ramos', 'Ethan Salvador', 'Jameson Blake', 'Ana Capri', ""Peewee O'Hara"", 'Joel Saracho', 'Ruby Ruiz', 'Bajun Lacap', 'Jomari Angeles', 'Jerom Canlas', 'Dylan Ray Talon', 'Phyllis Grande', 'Cecile Yumul', 'Felly Villanueva', 'Pearl Lagman', 'Meanne Espinosa']",nan,3.43,https://letterboxd.com//film/2-cool-2-be-4gotten/
Jay,2008,96,Francis Xavier Pasion,['Francis Xavier Pasion'],['Francis Xavier Pasion'],"['Francis Xavier Pasion', 'Chuck Gutierrez', 'Kats Serraon']",['Carlo Mendoza'],['Joy Puntawe'],['Gian Gianan'],['Joey Santos'],['comedy'],"['Baron Geisler', 'Coco Martin', 'Flor Salanga', 'Angelica Rivera', 'Rjay Payawal', 'JC Santos']",nan,3.43,https://letterboxd.com//film/jay/
Love You to the Stars and Back,2017,111,Antoinette Jadaone,nan,['Antoinette Jadaone'],['Marya Ignacio'],['Hermann Claravall'],['Ana Lou Sanchez'],['Francis Concio'],['Allen Roy Santos'],"['romance', 'drama', 'comedy', 'adventure']","['Julia Barretto', 'Joshua Garcia', 'Cherry Pie Picache', 'Ariel Rivera', 'Maricar Reyes', 'Edgar Allan Guzman', 'Jelson Bay', 'Odette Khan', 'Eda Nolan', 'Ruby Ruiz', 'Belle Mariano', 'Joaquin Reyes', 'Carmina Villarroel']",nan,3.43,https://letterboxd.com//film/love-you-to-the-stars-and-back/
Hey Babe!,1999,104,Joyce E. Bernal,nan,"['Mel Mendoza-Del Rosario', 'Ricardo Lee', 'Dindo Perez']",nan,nan,nan,nan,nan,"['romance', 'comedy', 'drama']","['Jolina Magdangal', 'Marvin Agustin', 'Gina Pareño', 'Alma Moreno', 'Dominic Ochoa', 'Nikki Valdez', 'Joey Marquez', 'Koko Trinidad', 'Roldan Aquino', 'J.R. Herrera', 'Bearwin Meily', 'Mo Twister', 'Monina Bagatsing', 'Justin Cuyugan', 'Audrey Vizcarra', 'Tata Melendez', 'Girlie Alcantara', 'Denise Montecillo', 'Lyra Buendia', 'Matthew Umali', 'Joseph Benson', 'CJ Tolentino', 'Antonio Cordeda', 'Johnny Blaze', 'Marlon Alvara', 'Amelia Sabe', 'Katrina De Leon', 'Millicent Biller', 'Liza Diño', 'Nonong Talbo']",nan,3.43,https://letterboxd.com//film/hey-babe/
Watch List,2019,94,Ben Rekhi,"['Erik Matti', 'Ronald Monteverde', 'Ben Rekhi', 'Brenda Gilbert', 'Stacey Bascon']","['Rona Lean Sales', 'Ben Rekhi']","['Liza D. Espinas', 'Nick Ellsberg']",['Daniella Nowitz'],['Ericson Navarro'],['William Ryan Fritch'],['Nathan Ruyle'],['thriller'],"['Alessandra de Rossi', 'Jake Macapagal', 'Arthur Acuña', 'Jess Mendoza', 'Angeli Bayani', 'Timothy Castillo', 'Micko Laurente']",nan,3.43,https://letterboxd.com//film/watch-list/
Reef Hunters,1999,120,Marilou Diaz-Abaya,"['Marilou Diaz-Abaya', 'Butch Jimenez']","['Ricardo Lee', 'Jun Robles Lana']",['Jess Navarro'],['Rody Lacap'],['Leo Abaya'],['Nonong Buencamino'],['Albert Michael Idioma'],"['action', 'drama', 'adventure']","['Cesar Montano', 'Pen Medina', 'Jhong Hilario', 'Amy Austria', 'Rebecca Lusterio']",nan,3.42,https://letterboxd.com//film/reef-hunters/
